"YYYY-MM-DD","Hour","Emitor.Tags","Pkt_Value"
"2024-10-01","12","K3.status.auto","1013"
"2024-10-01","12","K3.status.reka","1012"
"2024-10-01","12","K3.parametr.VSS.wartosc","1167"
"2024-10-01","12","K3.parametr.VSW.wartosc","1165"
"2024-10-01","12","K3.parametr.VSR.wartosc","1164"
"2024-10-01","12","K3.parametr.MOC.wartosc","1050"
"2024-10-01","12","K3.parametr.O2.wartosc","1070"
"2024-10-01","12","K3.parametr.H2O.wartosc","1090"
"2024-10-01","12","K3.parametr.T.wartosc","1110"
"2024-10-01","12","K3.parametr.P.wartosc","1130"
"2024-10-01","12","K3.parametr.VSU.wartosc","1166"
"2024-10-01","12","K3.stezenie.PYL.wartosc","1210"
"2024-10-01","12","K3.stezenie.CO2.wartosc","1319"
